ins,Num_Run,i,date,alpha,iter,time,DiffRoute,Vehi,Dis,Comp,MaxComp,Balance,BestDiff,BestVehi,BestDis,BestComp,BestMaxComp,BestBalance,GapDis,GapComp,GapMaxComp,GapBalance
C101,1.0,1,1994-11-01,Inf,0,Inf,Inf,Inf,Inf,Inf,Inf,Inf,"(8, 13)",10,827.3000000000001,64356.999999999956,1216.6,7649.1,Inf,Inf,Inf,Inf
C102,1.0,1,1994-11-01,Inf,0,Inf,Inf,Inf,Inf,Inf,Inf,Inf,"(8, 13)",10,827.3000000000001,64356.99999999995,1216.6,7649.1,Inf,Inf,Inf,Inf
C103,1.0,1,1994-11-01,Inf,0,Inf,Inf,Inf,Inf,Inf,Inf,Inf,"(8, 13)",10,826.3000000000001,65538.99999999997,1216.6,7113.800000000002,Inf,Inf,Inf,Inf
C104,1.0,1,1994-11-01,Inf,0,Inf,Inf,Inf,Inf,Inf,Inf,Inf,"(8, 13)",10,822.8999999999999,65200.10000000006,1216.6,6637.599999999999,Inf,Inf,Inf,Inf
C105,1.0,1,1994-11-01,Inf,0,Inf,Inf,Inf,Inf,Inf,Inf,Inf,"(8, 13)",10,827.3000000000001,64356.999999999956,1216.6,7649.1,Inf,Inf,Inf,Inf
C106,1.0,1,1994-11-01,Inf,0,Inf,Inf,Inf,Inf,Inf,Inf,Inf,"(8, 13)",10,827.3000000000001,64356.999999999956,1216.6,7649.1,Inf,Inf,Inf,Inf
C107,1.0,1,1994-11-01,Inf,0,Inf,Inf,Inf,Inf,Inf,Inf,Inf,"(8, 13)",10,827.3000000000001,64356.999999999956,1216.6,7649.1,Inf,Inf,Inf,Inf
C108,1.0,1,1994-11-01,Inf,0,Inf,Inf,Inf,Inf,Inf,Inf,Inf,"(8, 13)",10,827.3000000000001,64356.99999999997,1216.6,7649.100000000002,Inf,Inf,Inf,Inf
C109,1.0,1,1994-11-01,Inf,0,Inf,Inf,Inf,Inf,Inf,Inf,Inf,"(8, 13)",10,827.3000000000001,64356.99999999997,1216.6,7649.100000000001,Inf,Inf,Inf,Inf
C201,1.0,1,1994-11-01,Inf,0,Inf,Inf,Inf,Inf,Inf,Inf,Inf,"(32, 35)",3,589.1000000000001,173464.20000000004,3366.9,680.6000000000004,Inf,Inf,Inf,Inf
C202,1.0,1,1994-11-01,Inf,0,Inf,Inf,Inf,Inf,Inf,Inf,Inf,"(32, 35)",3,589.1,173464.19999999998,3366.9,680.6000000000004,Inf,Inf,Inf,Inf
C203,1.0,1,1994-11-01,Inf,0,Inf,Inf,Inf,Inf,Inf,Inf,Inf,"(32, 35)",3,588.7,173522.60000000003,3366.9,659.0,Inf,Inf,Inf,Inf
C204,1.0,1,1994-11-01,Inf,0,Inf,Inf,Inf,Inf,Inf,Inf,Inf,"(32, 35)",3,588.1000000000001,173458.0,3366.9,682.6000000000004,Inf,Inf,Inf,Inf
C205,1.0,1,1994-11-01,Inf,0,Inf,Inf,Inf,Inf,Inf,Inf,Inf,"(32, 35)",3,586.4000000000001,173420.40000000005,3364.2000000000003,675.2000000000007,Inf,Inf,Inf,Inf
C206,1.0,1,1994-11-01,Inf,0,Inf,Inf,Inf,Inf,Inf,Inf,Inf,"(32, 35)",3,586.0000000000001,173422.80000000002,3364.2000000000003,676.0000000000009,Inf,Inf,Inf,Inf
C207,1.0,1,1994-11-01,Inf,0,Inf,Inf,Inf,Inf,Inf,Inf,Inf,"(32, 35)",3,585.8000000000002,174504.49999999997,3364.2000000000003,676.0000000000009,Inf,Inf,Inf,Inf
C208,1.0,1,1994-11-01,Inf,0,Inf,Inf,Inf,Inf,Inf,Inf,Inf,"(32, 35)",3,585.8000000000001,175603.49999999994,3364.2000000000003,676.0000000000009,Inf,Inf,Inf,Inf
R101,1.0,1,1994-11-01,Inf,0,Inf,Inf,Inf,Inf,Inf,Inf,Inf,"(2, 8)",19,1645.7,14444.900000000001,210.0,5164.0,Inf,Inf,Inf,Inf
R102,1.0,1,1994-11-01,Inf,0,Inf,Inf,Inf,Inf,Inf,Inf,Inf,"(2, 9)",17,1481.1999999999994,14549.099999999999,216.8,5922.000000000003,Inf,Inf,Inf,Inf
R103,1.0,1,1994-11-01,Inf,0,Inf,Inf,Inf,Inf,Inf,Inf,Inf,"(5, 12)",13,1288.1,14770.500000000002,221.1,2394.8,Inf,Inf,Inf,Inf
R104,1.0,1,1994-11-01,Inf,0,Inf,Inf,Inf,Inf,Inf,Inf,Inf,"(10, 13)",9,1002.3999999999997,14125.399999999996,223.0,241.60000000000002,Inf,Inf,Inf,Inf
R105,1.0,1,1994-11-01,Inf,0,Inf,Inf,Inf,Inf,Inf,Inf,Inf,"(4, 9)",14,1372.3000000000002,13524.60000000001,203.9,3303.499999999999,Inf,Inf,Inf,Inf
R106,1.0,1,1994-11-01,Inf,0,Inf,Inf,Inf,Inf,Inf,Inf,Inf,"(5, 10)",12,1247.3999999999996,13513.000000000002,210.5,2330.4000000000005,Inf,Inf,Inf,Inf
R107,1.0,1,1994-11-01,Inf,0,Inf,Inf,Inf,Inf,Inf,Inf,Inf,"(7, 12)",10,1100.1,14853.800000000005,222.1,410.80000000000007,Inf,Inf,Inf,Inf
R108,1.0,1,1994-11-01,Inf,0,Inf,Inf,Inf,Inf,Inf,Inf,Inf,"(10, 13)",9,956.3999999999999,13315.7,214.2,372.39999999999986,Inf,Inf,Inf,Inf
R109,1.0,1,1994-11-01,Inf,0,Inf,Inf,Inf,Inf,Inf,Inf,Inf,"(7, 12)",11,1189.8000000000004,13283.399999999996,206.70000000000002,1391.8000000000006,Inf,Inf,Inf,Inf
R110,1.0,1,1994-11-01,Inf,0,Inf,Inf,Inf,Inf,Inf,Inf,Inf,"(8, 11)",10,1114.4000000000003,13612.499999999996,219.3,632.6000000000006,Inf,Inf,Inf,Inf
R111,1.0,1,1994-11-01,Inf,0,Inf,Inf,Inf,Inf,Inf,Inf,Inf,"(7, 12)",11,1189.8000000000004,13584.999999999993,213.2,1321.6,Inf,Inf,Inf,Inf
R112,1.0,1,1994-11-01,Inf,0,Inf,Inf,Inf,Inf,Inf,Inf,Inf,"(10, 12)",9,977.7,13469.900000000003,213.5,320.80000000000007,Inf,Inf,Inf,Inf
R201,1.0,1,1994-11-01,Inf,0,Inf,Inf,Inf,Inf,Inf,Inf,Inf,"(19, 30)",4,1248.4000000000003,48525.90000000002,911.5,160.30000000000007,Inf,Inf,Inf,Inf
R202,1.0,1,1994-11-01,Inf,0,Inf,Inf,Inf,Inf,Inf,Inf,Inf,"(32, 35)",3,1187.9,47126.800000000025,966.3000000000001,214.60000000000014,Inf,Inf,Inf,Inf
R203,1.0,1,1994-11-01,Inf,0,Inf,Inf,Inf,Inf,Inf,Inf,Inf,"(25, 44)",3,935.7000000000003,49379.799999999996,985.7,253.4000000000001,Inf,Inf,Inf,Inf
R204,1.0,1,1994-11-01,Inf,0,Inf,Inf,Inf,Inf,Inf,Inf,Inf,"(48, 52)",2,821.0999999999999,53898.1,987.5000000000001,0.3000000000001819,Inf,Inf,Inf,Inf
R205,1.0,1,1994-11-01,Inf,0,Inf,Inf,Inf,Inf,Inf,Inf,Inf,"(21, 40)",3,990.3000000000002,47112.89999999999,839.9000000000001,57.00000000000023,Inf,Inf,Inf,Inf
R206,1.0,1,1994-11-01,Inf,0,Inf,Inf,Inf,Inf,Inf,Inf,Inf,"(26, 38)",3,902.4000000000001,44678.4,859.7,121.59999999999991,Inf,Inf,Inf,Inf
R207,1.0,1,1994-11-01,Inf,0,Inf,Inf,Inf,Inf,Inf,Inf,Inf,"(47, 53)",2,886.6,56341.19999999999,984.8,4.599999999999909,Inf,Inf,Inf,Inf
R208,1.0,1,1994-11-01,Inf,0,Inf,Inf,Inf,Inf,Inf,Inf,Inf,"(49, 51)",2,722.6000000000003,49370.500000000015,927.6,44.19999999999993,Inf,Inf,Inf,Inf
R209,1.0,1,1994-11-01,Inf,0,Inf,Inf,Inf,Inf,Inf,Inf,Inf,"(31, 38)",3,904.9000000000003,48521.3,852.6000000000001,217.20000000000027,Inf,Inf,Inf,Inf
R210,1.0,1,1994-11-01,Inf,0,Inf,Inf,Inf,Inf,Inf,Inf,Inf,"(32, 36)",3,935.2999999999998,49540.800000000025,924.6999999999999,152.59999999999968,Inf,Inf,Inf,Inf
R211,1.0,1,1994-11-01,Inf,0,Inf,Inf,Inf,Inf,Inf,Inf,Inf,"(49, 51)",2,882.0,48989.200000000026,968.4000000000001,72.79999999999984,Inf,Inf,Inf,Inf
RC101,1.0,1,1994-11-01,Inf,0,Inf,Inf,Inf,Inf,Inf,Inf,Inf,"(5, 10)",14,1693.1999999999998,14396.500000000004,212.9,1871.1999999999994,Inf,Inf,Inf,Inf
RC102,1.0,1,1994-11-01,Inf,0,Inf,Inf,Inf,Inf,Inf,Inf,Inf,"(6, 11)",12,1551.1000000000006,14740.100000000002,231.2,1417.1999999999996,Inf,Inf,Inf,Inf
RC103,1.0,1,1994-11-01,Inf,0,Inf,Inf,Inf,Inf,Inf,Inf,Inf,"(6, 12)",11,1258.0,14797.200000000004,232.99999999999997,1369.0000000000002,Inf,Inf,Inf,Inf
RC104,1.0,1,1994-11-01,Inf,0,Inf,Inf,Inf,Inf,Inf,Inf,Inf,"(7, 13)",10,1132.3000000000004,14118.099999999995,224.89999999999998,861.7999999999993,Inf,Inf,Inf,Inf
RC105,1.0,1,1994-11-01,Inf,0,Inf,Inf,Inf,Inf,Inf,Inf,Inf,"(4, 10)",13,1625.0000000000002,14443.900000000001,226.8,1965.0,Inf,Inf,Inf,Inf
RC106,1.0,1,1994-11-01,Inf,0,Inf,Inf,Inf,Inf,Inf,Inf,Inf,"(7, 11)",11,1420.9999999999998,14135.79999999999,224.1,1005.6000000000003,Inf,Inf,Inf,Inf
RC107,1.0,1,1994-11-01,Inf,0,Inf,Inf,Inf,Inf,Inf,Inf,Inf,"(6, 11)",11,1227.1000000000004,14160.699999999995,222.09999999999997,1100.6000000000004,Inf,Inf,Inf,Inf
RC108,1.0,1,1994-11-01,Inf,0,Inf,Inf,Inf,Inf,Inf,Inf,Inf,"(8, 11)",10,1136.3,14236.60000000001,230.8,1016.3000000000005,Inf,Inf,Inf,Inf
RC201,1.0,1,1994-11-01,Inf,0,Inf,Inf,Inf,Inf,Inf,Inf,Inf,"(21, 27)",4,1403.2999999999997,45871.899999999994,858.9,368.9000000000001,Inf,Inf,Inf,Inf
RC202,1.0,1,1994-11-01,Inf,0,Inf,Inf,Inf,Inf,Inf,Inf,Inf,"(29, 39)",3,1362.6999999999996,47130.19999999998,921.7000000000002,151.60000000000036,Inf,Inf,Inf,Inf
RC203,1.0,1,1994-11-01,Inf,0,Inf,Inf,Inf,Inf,Inf,Inf,Inf,"(27, 44)",3,1046.3,44251.40000000001,934.8000000000001,200.80000000000018,Inf,Inf,Inf,Inf
RC204,1.0,1,1994-11-01,Inf,0,Inf,Inf,Inf,Inf,Inf,Inf,Inf,"(32, 34)",3,795.5000000000003,47839.400000000016,929.7000000000002,488.0000000000002,Inf,Inf,Inf,Inf
RC205,1.0,1,1994-11-01,Inf,0,Inf,Inf,Inf,Inf,Inf,Inf,Inf,"(21, 29)",4,1294.3,47098.70000000001,880.0,367.1999999999997,Inf,Inf,Inf,Inf
RC206,1.0,1,1994-11-01,Inf,0,Inf,Inf,Inf,Inf,Inf,Inf,Inf,"(32, 35)",3,1143.2999999999995,45254.1,826.3000000000001,131.0,Inf,Inf,Inf,Inf
RC207,1.0,1,1994-11-01,Inf,0,Inf,Inf,Inf,Inf,Inf,Inf,Inf,"(27, 38)",3,1057.8,45898.799999999996,851.1,260.79999999999995,Inf,Inf,Inf,Inf
RC208,1.0,1,1994-11-01,Inf,0,Inf,Inf,Inf,Inf,Inf,Inf,Inf,"(33, 34)",3,825.1,45443.90000000001,797.8000000000001,265.5999999999999,Inf,Inf,Inf,Inf
